size,type,ms
36100,random,11.4
36100,reverse,8
36100,almost,8
36200,random,11.4
36200,reverse,8
36200,almost,8.2
36300,random,11
36300,reverse,8
36300,almost,8.2
36400,random,12.6
36400,reverse,8
36400,almost,8
36500,random,11.6
36500,reverse,8.2
36500,almost,8.2
36600,random,11.8
36600,reverse,8
36600,almost,8
36700,random,12
36700,reverse,8.2
36700,almost,8.6
36800,random,12.4
36800,reverse,8
36800,almost,8.4
36900,random,12
36900,reverse,8.2
36900,almost,8.6
37000,random,12
37000,reverse,8.6
37000,almost,8.8
37100,random,11.8
37100,reverse,8
37100,almost,8
37200,random,12.4
37200,reverse,8.6
37200,almost,8
37300,random,12
37300,reverse,8
37300,almost,8.2
37400,random,13.6
37400,reverse,8.2
37400,almost,8
37500,random,11.6
37500,reverse,8
37500,almost,8.2
37600,random,12.2
37600,reverse,8
37600,almost,8.8
37700,random,12
37700,reverse,8.4
37700,almost,8
37800,random,11.8
37800,reverse,8
37800,almost,8.6
37900,random,11.8
37900,reverse,8.4
37900,almost,8.4
38000,random,12.6
38000,reverse,8
38000,almost,9
38100,random,12
38100,reverse,8
38100,almost,9
38200,random,11.8
38200,reverse,8.2
38200,almost,9
38300,random,12
38300,reverse,8.2
38300,almost,8.4
38400,random,12.4
38400,reverse,9.8
38400,almost,9
38500,random,12.4
38500,reverse,8.4
38500,almost,8.6
38600,random,12.4
38600,reverse,8.6
38600,almost,8.6
38700,random,12.8
38700,reverse,8.2
38700,almost,9
38800,random,12.2
38800,reverse,9.6
38800,almost,8.6
38900,random,12
38900,reverse,8.4
38900,almost,9.4
39000,random,11.8
39000,reverse,8
39000,almost,8.4
39100,random,12.6
39100,reverse,8.2
39100,almost,8.4
39200,random,12.8
39200,reverse,8
39200,almost,8.8
39300,random,12
39300,reverse,8.2
39300,almost,8.4
39400,random,12.4
39400,reverse,8.8
39400,almost,8.8
39500,random,12.4
39500,reverse,8.2
39500,almost,9
39600,random,12
39600,reverse,8.4
39600,almost,8.4
39700,random,12.2
39700,reverse,8.6
39700,almost,8.4
39800,random,12
39800,reverse,9
39800,almost,8.4
39900,random,12.2
39900,reverse,9
39900,almost,8.6
40000,random,12.4
40000,reverse,8.6
40000,almost,8.8
40100,random,12.2
40100,reverse,8.8
40100,almost,8.2
40200,random,12
40200,reverse,8.6
40200,almost,8.8
40300,random,12.6
40300,reverse,9
40300,almost,9
40400,random,13.2
40400,reverse,9
40400,almost,8.8
40500,random,12.6
40500,reverse,9
40500,almost,8.6
40600,random,13.2
40600,reverse,9.4
40600,almost,8
40700,random,13.6
40700,reverse,9
40700,almost,8.2
40800,random,12.8
40800,reverse,9
40800,almost,8.2
40900,random,12.2
40900,reverse,9
40900,almost,9.2
41000,random,13
41000,reverse,9
41000,almost,8.2
41100,random,13
41100,reverse,9
41100,almost,9.2
41200,random,12.8
41200,reverse,9.4
41200,almost,9
41300,random,13
41300,reverse,9.4
41300,almost,9
41400,random,13.2
41400,reverse,9
41400,almost,9
41500,random,13.4
41500,reverse,9.6
41500,almost,9.2
41600,random,13.4
41600,reverse,9.2
41600,almost,9
41700,random,13.6
41700,reverse,10.2
41700,almost,9.2
41800,random,14.2
41800,reverse,10.2
41800,almost,10.4
41900,random,14.2
41900,reverse,10
41900,almost,10.2
42000,random,14.2
42000,reverse,10
42000,almost,10
42100,random,15.2
42100,reverse,10.6
42100,almost,10
42200,random,14.6
42200,reverse,10
42200,almost,10
42300,random,17.8
42300,reverse,11.4
42300,almost,10.2
42400,random,15.4
42400,reverse,11.4
42400,almost,11.6
42500,random,14.8
42500,reverse,10.4
42500,almost,10.6
42600,random,15
42600,reverse,10.4
42600,almost,11.4
42700,random,18.2
42700,reverse,11.4
42700,almost,11.4
42800,random,15.4
42800,reverse,11.6
42800,almost,11.4
42900,random,15.2
42900,reverse,11.2
42900,almost,11.6
43000,random,15.2
43000,reverse,11
43000,almost,11.6
43100,random,15
43100,reverse,10.8
43100,almost,12.2
43200,random,16.8
43200,reverse,12.2
43200,almost,13
43300,random,15.8
43300,reverse,11
43300,almost,11.6
43400,random,15.6
43400,reverse,12
43400,almost,12
43500,random,15.6
43500,reverse,11
43500,almost,11.8
43600,random,15.4
43600,reverse,11
43600,almost,11
43700,random,15.6
43700,reverse,11
43700,almost,11.6
43800,random,15.6
43800,reverse,11.2
43800,almost,11.6
43900,random,15.4
43900,reverse,11
43900,almost,11.4
44000,random,15.4
44000,reverse,11
44000,almost,11.8
44100,random,15.6
44100,reverse,11.2
44100,almost,12
44200,random,15.4
44200,reverse,11.4
44200,almost,11.6
44300,random,16.2
44300,reverse,11
44300,almost,12.2
44400,random,15.8
44400,reverse,11.6
44400,almost,11.4
44500,random,16
44500,reverse,12.4
44500,almost,12
44600,random,15.8
44600,reverse,11.6
44600,almost,12.4
44700,random,15.8
44700,reverse,11.4
44700,almost,11.4
44800,random,15.8
44800,reverse,11.2
44800,almost,11.4
44900,random,15.8
44900,reverse,11.2
44900,almost,11.6
45000,random,16.4
45000,reverse,11.2
45000,almost,11.8
45100,random,16.6
45100,reverse,12.6
45100,almost,11.8
45200,random,16.4
45200,reverse,11.4
45200,almost,11.2
45300,random,15.6
45300,reverse,12
45300,almost,11.8
45400,random,16
45400,reverse,11
45400,almost,11.4
45500,random,16.8
45500,reverse,11.6
45500,almost,12.4
45600,random,16
45600,reverse,11.6
45600,almost,12.6
45700,random,16
45700,reverse,11.8
45700,almost,12.2
45800,random,16.4
45800,reverse,11.2
45800,almost,13
45900,random,16
45900,reverse,11.6
45900,almost,12.4
46000,random,16.2
46000,reverse,11.4
46000,almost,12.2
46100,random,16.2
46100,reverse,11.4
46100,almost,11.8
46200,random,16
46200,reverse,11.8
46200,almost,12
46300,random,15.8
46300,reverse,11
46300,almost,12
46400,random,16.8
46400,reverse,11.8
46400,almost,12.2
46500,random,16
46500,reverse,11
46500,almost,12.2
46600,random,17.2
46600,reverse,11.2
46600,almost,11.8
46700,random,16
46700,reverse,11.2
46700,almost,12.2
46800,random,17
46800,reverse,11
46800,almost,12.2
46900,random,17
46900,reverse,11.4
46900,almost,11.6
47000,random,16.6
47000,reverse,12
47000,almost,12.4
47100,random,16.6
47100,reverse,11.8
47100,almost,12.2
47200,random,16.4
47200,reverse,12.6
47200,almost,12.4
47300,random,16
47300,reverse,12.2
47300,almost,12
47400,random,16.6
47400,reverse,11.2
47400,almost,12.4
47500,random,16.2
47500,reverse,11.6
47500,almost,12.2
47600,random,17.4
47600,reverse,11.6
47600,almost,12
47700,random,17
47700,reverse,12.6
47700,almost,12.4
47800,random,17
47800,reverse,12.8
47800,almost,12.2
47900,random,17.4
47900,reverse,12.6
47900,almost,12.2
48000,random,17.4
48000,reverse,12
48000,almost,12
48100,random,16.8
48100,reverse,12.2
48100,almost,12
48200,random,16.8
48200,reverse,12
48200,almost,12.4
48300,random,17.2
48300,reverse,12
48300,almost,12
48400,random,16.6
48400,reverse,12.4
48400,almost,12.4
48500,random,16.8
48500,reverse,12.2
48500,almost,12.4
48600,random,17
48600,reverse,12
48600,almost,12
48700,random,17.2
48700,reverse,12
48700,almost,12.6
48800,random,17.2
48800,reverse,12.2
48800,almost,12.4
48900,random,17
48900,reverse,12
48900,almost,12.2
49000,random,16.8
49000,reverse,12.2
49000,almost,14
49100,random,17
49100,reverse,12
49100,almost,12.8
49200,random,17
49200,reverse,12.4
49200,almost,13
49300,random,16.8
49300,reverse,12.2
49300,almost,12.2
49400,random,17.2
49400,reverse,12.4
49400,almost,12.4
49500,random,17.2
49500,reverse,12.4
49500,almost,12.4
49600,random,17.2
49600,reverse,12.4
49600,almost,12.8
49700,random,17.4
49700,reverse,12.4
49700,almost,12
49800,random,17.6
49800,reverse,12.6
49800,almost,12.6
49900,random,17.2
49900,reverse,12
49900,almost,12.2
50000,random,18.4
50000,reverse,12
50000,almost,12.8
50100,random,17.6
50100,reverse,12
50100,almost,13.2
50200,random,17.4
50200,reverse,12.8
50200,almost,13.6
50300,random,17.6
50300,reverse,13.2
50300,almost,12.2
50400,random,18.2
50400,reverse,12.6
50400,almost,7.8
50500,random,11.2
50500,reverse,7
50500,almost,7
50600,random,11
50600,reverse,7
50600,almost,7.2
50700,random,11
50700,reverse,7
50700,almost,7.2
50800,random,11.2
50800,reverse,7
50800,almost,7.2
50900,random,11
50900,reverse,7
50900,almost,7.2
51000,random,11.2
51000,reverse,7
51000,almost,7.4
51100,random,11.2
51100,reverse,7
51100,almost,7
51200,random,11.4
51200,reverse,7
51200,almost,7.2
51300,random,11
51300,reverse,7
51300,almost,7.6
51400,random,11.6
51400,reverse,7
51400,almost,7
51500,random,11.2
51500,reverse,7
51500,almost,7.2
51600,random,11
51600,reverse,7
51600,almost,7
51700,random,11
51700,reverse,7
51700,almost,7.4
51800,random,11
51800,reverse,7.4
51800,almost,7.4
51900,random,11
51900,reverse,7
51900,almost,7.2
52000,random,11
52000,reverse,7
52000,almost,7.2
52100,random,11
52100,reverse,7
52100,almost,7.8
52200,random,11
52200,reverse,7.2
52200,almost,7.2
52300,random,11
52300,reverse,7.2
52300,almost,7.4
52400,random,11.2
52400,reverse,7.4
52400,almost,8
52500,random,11.4
52500,reverse,7.6
52500,almost,7.6
52600,random,11
52600,reverse,7
52600,almost,7.4
52700,random,11.4
52700,reverse,7
52700,almost,7.6
52800,random,11
52800,reverse,7
52800,almost,7.4
52900,random,11.6
52900,reverse,7.4
52900,almost,7.8
53000,random,12
53000,reverse,7.2
53000,almost,7.6
53100,random,11.4
53100,reverse,7.6
53100,almost,7.6
53200,random,11.4
53200,reverse,7.2
53200,almost,7.8
53300,random,11.6
53300,reverse,7
53300,almost,7.8
53400,random,11.8
53400,reverse,7.2
53400,almost,8
53500,random,11.6
