size,type,ms
15900,reverse,5
15900,almost,5.2
16000,random,6.4
16000,reverse,5
16000,almost,5.2
16100,random,6.6
16100,reverse,5
16100,almost,5
16200,random,6
16200,reverse,5
16200,almost,5
16300,random,6
16300,reverse,5.4
16300,almost,5.4
16400,random,6.4
16400,reverse,5
16400,almost,5
16500,random,7
16500,reverse,5
16500,almost,5.4
16600,random,7.2
16600,reverse,5.8
16600,almost,5.6
16700,random,7
16700,reverse,5.2
16700,almost,6
16800,random,7
16800,reverse,6
16800,almost,6
16900,random,7
16900,reverse,6
16900,almost,6
17000,random,7
17000,reverse,6
17000,almost,6
17100,random,7.2
17100,reverse,6
17100,almost,6
17200,random,7
17200,reverse,6
17200,almost,6
17300,random,7
17300,reverse,6
17300,almost,6
17400,random,7
17400,reverse,6
17400,almost,6
17500,random,7.2
17500,reverse,6
17500,almost,6
17600,random,7
17600,reverse,6
17600,almost,6
17700,random,7.4
17700,reverse,6
17700,almost,6
17800,random,7.4
17800,reverse,6
17800,almost,6.4
17900,random,7.8
17900,reverse,6.2
17900,almost,6.4
18000,random,8
18000,reverse,6.6
18000,almost,6
18100,random,8
18100,reverse,6
18100,almost,6.2
18200,random,8
18200,reverse,6.4
18200,almost,6.4
18300,random,8
18300,reverse,6.2
18300,almost,7
18400,random,8.4
18400,reverse,7
18400,almost,7
18500,random,9
18500,reverse,7
18500,almost,7.2
18600,random,9
18600,reverse,7.2
18600,almost,9.4
18700,random,10.2
18700,reverse,7
18700,almost,9
18800,random,12
18800,reverse,7
18800,almost,7
18900,random,8
18900,reverse,7
18900,almost,7.2
19000,random,8.4
19000,reverse,7
19000,almost,7
19100,random,8.2
19100,reverse,7.4
19100,almost,7
19200,random,8.4
19200,reverse,7
19200,almost,7
19300,random,8
19300,reverse,7
19300,almost,7
19400,random,8.4
19400,reverse,7.2
19400,almost,7
19500,random,8.2
19500,reverse,7
19500,almost,7.2
19600,random,8.8
19600,reverse,7
19600,almost,7
19700,random,8.6
19700,reverse,7
19700,almost,7
19800,random,8.6
19800,reverse,7
19800,almost,7
19900,random,9
19900,reverse,7
19900,almost,7.4
20000,random,9
20000,reverse,7
20000,almost,7.2
20100,random,9
20100,reverse,7
20100,almost,7.2
20200,random,9
20200,reverse,7
20200,almost,7
20300,random,9
20300,reverse,7
20300,almost,7.4
20400,random,9
20400,reverse,7.2
20400,almost,7.4
20500,random,9
20500,reverse,7
20500,almost,7.8
20600,random,9
20600,reverse,7
20600,almost,7.6
20700,random,9
20700,reverse,7
20700,almost,7.8
20800,random,9
20800,reverse,7.2
20800,almost,8
20900,random,9
20900,reverse,7.2
20900,almost,8
21000,random,9
21000,reverse,7.2
21000,almost,8
21100,random,9
21100,reverse,7.6
21100,almost,8
21200,random,9
21200,reverse,7.8
21200,almost,8
21300,random,9
21300,reverse,7.8
21300,almost,8
21400,random,9
21400,reverse,8
21400,almost,8
21500,random,9
21500,reverse,8
21500,almost,8
21600,random,9
21600,reverse,8
21600,almost,8
21700,random,9.2
21700,reverse,8
21700,almost,8
21800,random,9.4
21800,reverse,8
21800,almost,8
21900,random,9.8
21900,reverse,8
21900,almost,8.2
22000,random,9.6
22000,reverse,8
22000,almost,8
22100,random,9.8
22100,reverse,8.2
22100,almost,8.2
22200,random,10
22200,reverse,8
22200,almost,8
22300,random,10
22300,reverse,8
22300,almost,8.2
22400,random,10
22400,reverse,8
22400,almost,8
22500,random,10
22500,reverse,8
22500,almost,8.4
22600,random,10
22600,reverse,8
22600,almost,8
22700,random,11
22700,reverse,8
22700,almost,8
22800,random,10
22800,reverse,8
22800,almost,8
22900,random,10
22900,reverse,8
22900,almost,8.6
23000,random,10
23000,reverse,8
23000,almost,8
23100,random,10
23100,reverse,8
23100,almost,9
23200,random,10.2
23200,reverse,8
23200,almost,8.8
23300,random,10.2
23300,reverse,8.2
23300,almost,8.6
23400,random,10
23400,reverse,8
23400,almost,8.4
23500,random,10
23500,reverse,8.2
23500,almost,8.8
23600,random,10
23600,reverse,8.2
23600,almost,9
23700,random,10.6
23700,reverse,8.8
23700,almost,9
23800,random,10
23800,reverse,8.2
23800,almost,8.8
23900,random,11
23900,reverse,8.6
23900,almost,9
24000,random,10.4
24000,reverse,8.4
24000,almost,9
24100,random,10.4
24100,reverse,8.6
24100,almost,9
24200,random,10.4
24200,reverse,8.4
24200,almost,9
24300,random,10.6
24300,reverse,9
24300,almost,9
24400,random,10.6
24400,reverse,8.8
24400,almost,9
24500,random,11
24500,reverse,9
24500,almost,9
24600,random,10.8
24600,reverse,9
24600,almost,9
24700,random,11
24700,reverse,9
24700,almost,9
24800,random,11
24800,reverse,9
24800,almost,9
24900,random,11
24900,reverse,9
24900,almost,9
25000,random,11
25000,reverse,9
25000,almost,9.2
25100,random,11
25100,reverse,9
25100,almost,9
25200,random,11
25200,reverse,9
25200,almost,9
25300,random,11
25300,reverse,9
25300,almost,9
25400,random,11
25400,reverse,9
25400,almost,9
25500,random,11
25500,reverse,9.4
25500,almost,9.2
25600,random,11.4
25600,reverse,9
25600,almost,9
25700,random,11
25700,reverse,9.4
25700,almost,9.2
25800,random,11
25800,reverse,9
25800,almost,9
25900,random,11.4
25900,reverse,9
25900,almost,9.6
26000,random,11.2
26000,reverse,9.4
26000,almost,9.8
26100,random,11
26100,reverse,9.4
26100,almost,9.6
26200,random,11.4
26200,reverse,9.2
26200,almost,9.6
26300,random,11.6
26300,reverse,10
26300,almost,9.6
26400,random,11.2
26400,reverse,9.2
26400,almost,10
26500,random,12
26500,reverse,9.2
26500,almost,9.8
26600,random,11.4
26600,reverse,9.2
26600,almost,9.8
26700,random,11.8
26700,reverse,9.2
26700,almost,10
26800,random,11.8
26800,reverse,9.2
26800,almost,10
26900,random,12
26900,reverse,9.6
26900,almost,10
27000,random,12
27000,reverse,9.6
27000,almost,10
27100,random,11.8
27100,reverse,9.6
27100,almost,10
27200,random,12
27200,reverse,9.6
27200,almost,10.2
27300,random,12
27300,reverse,9.8
27300,almost,10
27400,random,12
27400,reverse,9.4
27400,almost,10
27500,random,12
27500,reverse,10
27500,almost,10.4
27600,random,12
27600,reverse,10.2
27600,almost,10
27700,random,12
27700,reverse,10
27700,almost,10
27800,random,12.2
27800,reverse,10
27800,almost,10.2
27900,random,12
27900,reverse,10
27900,almost,10
28000,random,12
28000,reverse,10
28000,almost,10
28100,random,12.2
28100,reverse,10
28100,almost,10
28200,random,12
28200,reverse,10
28200,almost,10
28300,random,12.2
28300,reverse,10
28300,almost,10
28400,random,12
28400,reverse,10
28400,almost,10.2
28500,random,13.2
28500,reverse,10.8
28500,almost,10.2
28600,random,12.8
28600,reverse,10
28600,almost,12.4
28700,random,12.4
28700,reverse,10
28700,almost,10
28800,random,12
28800,reverse,10.6
28800,almost,10
28900,random,12
28900,reverse,10.2
28900,almost,10
29000,random,12.4
29000,reverse,10.4
29000,almost,10.8
29100,random,13
29100,reverse,11
29100,almost,10.6
29200,random,12.8
29200,reverse,10.2
29200,almost,10
29300,random,12.2
29300,reverse,10
29300,almost,10.4
29400,random,12.6
29400,reverse,10
29400,almost,10.4
29500,random,13
29500,reverse,10.2
29500,almost,10.4
29600,random,12.8
29600,reverse,10
29600,almost,10.8
29700,random,12.2
29700,reverse,10
29700,almost,10
29800,random,12.6
29800,reverse,10.4
29800,almost,10.6
29900,random,13
29900,reverse,10
29900,almost,11
30000,random,13.2
30000,reverse,10.4
30000,almost,11
30100,random,13
30100,reverse,10.4
30100,almost,11
30200,random,13.4
30200,reverse,10.6
30200,almost,11
30300,random,13
30300,reverse,10.4
30300,almost,11
30400,random,13.2
30400,reverse,10.4
30400,almost,11
30500,random,13.6
30500,reverse,11.4
30500,almost,11.2
30600,random,13
30600,reverse,10.6
30600,almost,11
30700,random,15.4
30700,reverse,11.2
30700,almost,11.4
30800,random,13
30800,reverse,10.8
30800,almost,11
30900,random,13.4
30900,reverse,13
30900,almost,12
31000,random,13.8
31000,reverse,11.4
31000,almost,12.8
31100,random,14
31100,reverse,11.4
31100,almost,12
31200,random,13.8
31200,reverse,11
